BorrName,BorrID,LoanStatus,GrossApproval,SBAGuarantee,PctOfGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,DebtCoverage,Leverage,COFiscalYear,COAmount,PrinBalanceCollected,PctOfPrinColl,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,JobsSupported
ADVANCED TECHNOLOGY SOLUTIONS,6470,PIF,1042900,782175,0.75,6,120,2015,4/24/15,5/1/15,7,3/9/25,0,2.25,4,0,0,1042900,1,0,0,0,511210,12
ADVANCED TECHNOLOGY SOLUTIONS,6471,PIF,200000,100000,0.5,7.75,84,2015,4/24/15,5/1/15,7,3/25/22,0,2.25,4,0,0,200000,1,0,0,0,511210,12
Around the Clock Fitness,6473,PIF,745200,558900,0.75,6,120,2015,4/23/15,4/23/15,0,3/1/25,0,2.25,4,0,0,745200,1,0,0,0,713940,75
BBARKIS CAR WASH INC.,6474,EXEMPT,545600,409200,0.75,6,300,2015,4/23/15,4/23/15,0,12/13/39,0,1.5,3.5,0,0,163680,0.3,0,0,0,811192,0
CHAMPIONS BREED CHAMPIONS LLC,6475,EXEMPT,100800,85680,0.85,6,84,2015,4/14/15,4/14/15,0,3/8/22,0,1.5,3.5,0,0,30240,0.3,0,0,0,713940,3
CHAMPIONS BREED CHAMPIONS LLC,6476,EXEMPT,30000,15000,0.5,7.75,84,2015,4/14/15,4/14/15,0,3/8/22,0,1.5,3.5,0,0,9000,0.3,0,0,0,713940,3
EXECUTIVE LEADERSHIP SOLUTIONS,6477,PIF,392200,294150,0.75,6,300,2015,4/10/15,4/10/15,0,11/30/39,0,2.25,4,0,0,392200,1,0,0,0,561312,10
"HADJEZ TRADING GROUP, INC.",6478,PIF,150000,75000,0.5,7.75,84,2015,4/7/15,4/7/15,0,3/1/22,0,2.25,4,0,0,150000,1,0,0,0,524210,8
EARLY LEARNING CENTER OF SUNRI,6479,EXEMPT,2448000,1836000,0.75,5.88,120,2015,3/26/15,4/1/15,6,2/7/25,0,1.5,3.5,0,0,734400,0.3,0,0,0,624410,73
EARLY LEARNING CENTER OF SUNRI,6480,PIF,250000,125000,0.5,7,84,2015,3/26/15,4/1/15,6,2/23/22,0,2.25,4,0,0,250000,1,0,0,0,624410,73
"Naples Flooring Acquisitions,",6481,EXEMPT,3863000,2897250,0.75,5.25,216,2015,3/25/15,3/25/15,0,12/20/32,0,1.5,3.5,0,0,1158900,0.3,0,0,0,238330,14
INFINITE POTENTIAL LEARNING CE,6482,EXEMPT,982200,736650,0.75,6,300,2015,3/24/15,4/1/15,8,11/21/39,0,1.5,3.5,0,0,294660,0.3,0,0,0,624410,15
"ARAGON, PLLC",6483,EXEMPT,647000,485250,0.75,5.25,300,2015,3/20/15,3/20/15,0,11/9/39,0,1.5,3.5,0,0,194100,0.3,0,0,0,621111,4
"ARAGON, PLLC",6484,EXEMPT,100000,50000,0.5,6,84,2015,3/20/15,4/1/15,12,2/23/22,0,1.5,3.5,0,0,30000,0.3,0,0,0,621111,4
Crown Consulting Firm Inc,6486,EXEMPT,1020000,765000,0.75,5,308,2015,2/26/15,3/1/15,3,6/17/40,0,1.5,3.5,0,0,306000,0.3,0,0,0,334310,12
"NOACAM, LLC",6487,PIF,772100,579075,0.75,6,282,2015,2/26/15,3/1/15,3,4/29/38,0,2.25,4,0,0,772100,1,0,0,0,621210,8
"VENDITIO GROUP, LLC",6488,PIF,1039600,779700,0.75,4.25,84,2015,2/25/15,3/1/15,4,1/23/22,0,2.25,4,0,0,1039600,1,0,0,0,451110,5
ROBERT BIRTHISEL PA,6489,EXEMPT,100000,50000,0.5,6,84,2015,2/24/15,4/1/15,36,2/23/22,0,1.5,3.5,0,0,35000,0.35,0,0,0,541110,28
ROBERT BIRTHISEL PA,6490,EXEMPT,307500,230625,0.75,6,120,2015,2/24/15,3/1/15,5,1/7/25,0,1.5,3.5,0,0,92250,0.3,0,0,0,541110,28
INTEGRITY RESTAURANT GROUP OF,6491,PIF,815500,611625,0.75,5.25,120,2015,2/19/15,2/19/15,0,12/28/24,0,2.25,4,0,0,815500,1,0,0,0,722511,7
HALL-MACK PARTNERS INC,6492,EXEMPT,140100,119085,0.85,6,120,2015,2/17/15,2/17/15,0,12/26/24,0,1.5,3.5,0,0,42030,0.3,0,0,0,812990,2
HALL-MACK PARTNERS INC,6493,PIF,30000,15000,0.5,6.5,84,2015,2/17/15,6/1/15,104,4/25/22,0,2.25,4,0,0,30000,1,0,0,0,812990,2
GLOVER CHIROPRACTIC CLINIC LLC,6495,EXEMPT,208200,156150,0.75,6,240,2015,2/3/15,2/3/15,0,10/21/34,0,1.5,3.5,0,0,62460,0.3,0,0,0,621310,3
CHAMBERLIN PARTNERS LLC,6496,EXEMPT,2264000,1698000,0.75,5.75,120,2015,1/30/15,2/1/15,2,12/10/24,0,1.5,3.5,0,0,679200,0.3,0,0,0,561422,1
PIERINI ESTHETIC SURGERY CENTE,6497,EXEMPT,919900,689925,0.75,6,252,2015,1/28/15,2/1/15,4,10/14/35,0,1.5,3.5,0,0,275970,0.3,0,0,0,621111,10
SANDY HOLDINGS LLC,6498,EXEMPT,632000,474000,0.75,6,300,2015,1/26/15,2/1/15,6,9/23/39,0,1.5,3.5,0,0,189600,0.3,0,0,0,561730,20
BUCCANEER LANDSCAPE MANAGEMENT,6499,EXEMPT,250000,125000,0.5,7.75,84,2015,1/26/15,2/1/15,6,12/26/21,0,1.5,3.5,0,0,75000,0.3,0,0,0,561730,20
LA MILAGROSA PHARMACY & DISCOU,6500,PIF,150000,75000,0.5,7.75,84,2015,1/23/15,2/1/15,9,12/26/21,0,2.25,4,0,0,150000,1,0,0,0,446110,1
JE'AMOR INC,6501,EXEMPT,77900,66215,0.85,6,96,2015,1/6/15,1/6/15,0,11/25/22,0,1.5,3.5,0,0,23370,0.3,0,0,0,454111,12
Hoffman Electrical LLC,6502,PIF,68000,34000,0.5,6,84,2015,12/31/14,1/1/15,1,11/25/21,0,2.25,4,0,0,68000,1,0,0,0,238210,8
"STAFF OPTIONS, CORP.",6503,EXEMPT,561200,420900,0.75,5.5,84,2015,12/23/14,12/23/14,0,11/16/21,0,1.5,3.5,0,0,168360,0.3,0,0,0,621610,0
"STAFF OPTIONS, CORP.",6504,PIF,125000,62500,0.5,7.75,84,2015,12/23/14,12/23/14,0,11/16/21,0,2.25,4,0,0,125000,1,0,0,0,621610,0
"EXPERIENCE FLORIDA, INC.",6505,EXEMPT,936100,702075,0.75,2.75,120,2015,12/19/14,12/19/14,0,10/27/24,0,1.5,3.5,0,0,280830,0.3,0,0,0,561520,30
"EXPERIENCE FLORIDA, INC.",6506,PIF,250000,125000,0.5,6.25,84,2015,12/19/14,12/19/14,0,11/12/21,0,2.25,4,0,0,250000,1,0,0,0,561520,30
THREE LEFTIES LLC,6507,EXEMPT,434800,326100,0.75,5.5,300,2015,12/15/14,12/15/14,0,8/6/39,0,1.5,3.5,0,0,130440,0.3,0,0,0,444190,30
"Elimika, LLC",6508,EXEMPT,3340400,2505300,0.75,4.75,300,2015,12/15/14,4/1/15,107,11/21/39,0,1.5,3.5,0,0,1169140,0.35,0,0,0,624410,37
"5050 BUILDING MANAGEMENT, LLC",6509,EXEMPT,2527900,1895925,0.75,4.5,306,2015,12/15/14,12/15/14,0,2/2/40,0,1.5,3.5,0,0,758370,0.3,0,0,0,621399,17
RED CHILLI INC,6511,EXEMPT,779300,584475,0.75,5.8,300,2015,12/13/14,12/13/14,0,8/4/39,0,1.5,3.5,0,0,233790,0.3,0,0,0,445120,1
"5845 CORPORATION CIRCLE, LLC",6512,EXEMPT,1252700,939525,0.75,4.5,300,2015,12/4/14,12/4/14,0,7/26/39,0,1.5,3.5,0,0,375810,0.3,0,0,0,238310,75
VINUSA GROUP LLC,6513,PIF,501500,376125,0.75,5.5,300,2015,11/28/14,12/1/14,3,7/23/39,0,2.25,4,0,0,501500,1,0,0,0,322212,5
"H-L CONSULTING SERVICES, LLC",6514,EXEMPT,1905300,1428975,0.75,6,186,2015,11/24/14,12/1/14,7,3/12/30,0,1.5,3.5,0,0,571590,0.3,0,0,0,621512,14
TWO THIRDS LLC,6515,PIF,607400,455550,0.75,6,204,2015,11/17/14,11/17/14,0,8/20/31,0,2.25,4,0,0,607400,1,0,0,0,441310,4
TWO THIRDS LLC,6516,PIF,75000,37500,0.5,7.75,84,2015,11/17/14,11/17/14,0,10/11/21,0,2.25,4,0,0,75000,1,0,0,0,441310,4
CAREER SOLUTIONS INTERNATIONAL,6517,PIF,350000,175000,0.5,6,84,2015,11/6/14,11/6/14,0,9/30/21,0,2.25,4,0,0,350000,1,0,0,0,561311,23
WAREHOUSE GOODS INC.,6518,PIF,2600000,1950000,0.75,5.5,108,2015,11/3/14,11/3/14,0,9/17/23,0,2.25,4,0,0,2600000,1,0,0,0,424940,30
FLORIDA SURGICAL SUPPLY COMPAN,6519,EXEMPT,746100,559575,0.75,5.25,300,2015,10/30/14,12/1/14,32,7/23/39,0,1.5,3.5,0,0,261135,0.35,0,0,0,423450,0
FLORIDA SURGICAL SUPPLY COMPAN,6520,EXEMPT,100000,50000,0.5,6,84,2015,10/30/14,11/1/14,2,9/25/21,0,1.5,3.5,0,0,30000,0.3,0,0,0,423450,0
NEGOTIO CONCORDI INC,6521,EXEMPT,320000,240000,0.75,6,126,2015,10/28/14,11/1/14,4,3/8/25,0,1.5,3.5,0,0,96000,0.3,0,0,0,522110,30
NEGOTIO CONCORDI INC,6522,EXEMPT,100000,50000,0.5,7.75,84,2015,10/28/14,11/1/14,4,9/25/21,0,1.5,3.5,0,0,30000,0.3,0,0,0,522110,30
"Harrods Estates, LLC",6523,PIF,1637500,1228125,0.75,5,312,2015,10/14/14,10/14/14,0,5/30/40,0,2.25,4,0,0,1637500,1,0,0,0,722513,100
"SOMPALLI HOLDINGS, LLC",6524,EXEMPT,2053600,1540200,0.75,6,300,2015,10/10/14,10/10/14,0,6/1/39,0,1.5,3.5,0,0,616080,0.3,0,0,0,621111,23
CENTRAL SUPPLY COMPANY,6525,EXEMPT,350000,175000,0.5,6,84,2015,10/10/14,10/10/14,0,9/3/21,0,1.5,3.5,0,0,105000,0.3,0,0,0,423310,17
MUTUAL FAMILY HEALTH HOLDING L,6527,EXEMPT,793000,594750,0.75,6,306,2015,10/7/14,10/7/14,0,11/25/39,0,1.5,3.5,0,0,237900,0.3,0,0,0,621111,16
BOUNCE AROUND JAX PARTY RENTAL,6528,EXEMPT,69300,51975,0.75,6,84,2015,10/2/14,10/2/14,0,8/26/21,0,1.5,3.5,0,0,20790,0.3,0,0,0,532292,8
"VICTOR T. NOTHNAGEL, O.D., P.A",6529,EXEMPT,925300,693975,0.75,5.75,180,2014,9/29/14,10/1/14,2,7/14/29,0,1.75,3.25,0,0,277590,0.3,0,0,0,621320,4
"Cosmic Estates, LLC",6530,PIF,1573000,1179750,0.75,5,312,2014,9/25/14,10/1/14,6,5/17/40,0,2.25,4,0,0,1573000,1,0,0,0,722513,200
"MILLER DENTAL LABORATORY, INC.",6531,EXEMPT,149900,127415,0.85,5.25,240,2014,9/25/14,9/25/14,0,6/12/34,0,1.75,3.25,0,0,44970,0.3,0,0,0,339116,2
"RAUL D. DAVILA M.D., PLLC",6532,EXEMPT,271000,203250,0.75,5.35,84,2014,9/22/14,9/22/14,0,8/16/21,0,1.75,3.25,0,0,81300,0.3,0,0,0,621111,3
RASSETTI PROPERTY GROUP LLC,6534,EXEMPT,4072500,3054375,0.75,4.5,312,2014,9/17/14,9/17/14,0,5/3/40,0,1.75,3.25,0,0,1221750,0.3,0,0,0,621111,20
Gers U.S.A. LLC,6535,EXEMPT,1627700,1220775,0.75,5.5,300,2014,9/15/14,9/15/14,0,5/7/39,0,1.75,3.25,0,0,488310,0.3,0,0,0,541330,19
B M WEMPLE POOLS INC,6536,EXEMPT,438700,329025,0.75,4.75,120,2014,9/5/14,9/5/14,0,7/14/24,0,1.75,3.25,0,0,131610,0.3,0,0,0,238990,31
B M WEMPLE POOLS INC,6537,EXEMPT,103500,51750,0.5,7.75,84,2014,9/5/14,9/5/14,0,7/30/21,0,1.75,3.25,0,0,31050,0.3,0,0,0,238990,31
"ELYSIAN FIELDS OF FL, LLC",6538,EXEMPT,684900,513675,0.75,5.25,120,2014,8/29/14,9/1/14,3,7/10/24,0,1.75,3.25,0,0,205470,0.3,0,0,0,451211,18
"ELYSIAN FIELDS OF FL, LLC",6539,PIF,100000,50000,0.5,7,84,2014,8/29/14,9/1/14,3,7/26/21,0,2.25,4,0,0,100000,1,0,0,0,453220,18
"BOSTON'S FISH HOUSE, INC.",6540,EXEMPT,935000,701250,0.75,5.75,120,2014,8/25/14,9/1/14,7,7/10/24,0,1.75,3.25,0,0,280500,0.3,0,0,0,722511,56
"Melimar Company, Inc.",6541,PIF,750000,675000,0.9,5.25,12,2014,8/19/14,9/1/14,13,8/27/15,0,2.25,4,0,0,750000,1,0,0,0,423830,16
Aiolos Group Inc,6542,EXEMPT,442100,331575,0.75,4.75,300,2014,8/19/14,9/1/14,13,4/23/39,0,1.75,3.25,0,0,132630,0.3,0,0,0,339113,12
"DVS INVESTMENTS, LLC",6543,PIF,658000,493500,0.75,6,300,2014,8/13/14,8/13/14,0,4/4/39,0,2.25,4,0,0,658000,1,0,0,0,512110,2
"RFB CONTRACTOR SERVICES, INC.",6544,EXEMPT,626800,470100,0.75,6,120,2014,8/8/14,8/8/14,0,6/16/24,0,1.75,3.25,0,0,188040,0.3,0,0,0,561720,36
"Melimar Company, Inc.",6545,EXEMPT,418700,314025,0.75,5,240,2014,7/25/14,7/25/14,0,4/11/34,0,1.75,3.25,0,0,125610,0.3,0,0,0,425120,10
Sherief Kamel MD,6546,EXEMPT,350000,175000,0.5,7.75,84,2014,7/23/14,7/23/14,0,6/16/21,0,1.75,3.25,0,0,105000,0.3,0,0,0,621111,20
"MARELA, LLC DBA JIM'S BUFFET &",6547,EXEMPT,438900,329175,0.75,6,240,2014,7/22/14,7/22/14,0,4/8/34,0,1.75,3.25,0,0,131670,0.3,0,0,0,722310,17
J&MC AUTOMOTIVE INC.,6548,EXEMPT,274400,205800,0.75,4.7,126,2014,7/22/14,7/22/14,0,11/26/24,0,1.75,3.25,0,0,82320,0.3,0,0,0,811198,4
Sherief Kamel MD,6549,EXEMPT,2511000,1883250,0.75,5.66,313,2014,7/22/14,7/22/14,0,4/6/40,0,1.75,3.25,0,0,753300,0.3,0,0,0,621111,20
"KSM School, II. LLC",6550,PIF,361400,271050,0.75,7.75,96,2014,7/17/14,7/17/14,0,6/5/22,0,2.25,4,0,0,361400,1,0,0,0,624410,4
"Peterson Environmenal, Inc",6551,EXEMPT,381900,286425,0.75,6,120,2014,7/14/14,7/14/14,0,5/22/24,0,1.75,3.25,0,0,114570,0.3,0,0,0,541620,2
SANDY TOES MARKETPLACE LLC,6552,EXEMPT,67600,57460,0.85,7.2,60,2014,7/9/14,7/9/14,0,6/13/19,0,1.75,3.25,0,0,20280,0.3,0,0,0,488991,2
"ROGARA, INC.",6553,EXEMPT,614800,461100,0.75,5.75,120,2014,7/1/14,7/1/14,0,5/9/24,0,1.75,3.25,0,0,184440,0.3,0,0,0,453220,13
"ROGARA, INC.",6554,PIF,50000,25000,0.5,5.75,84,2014,7/1/14,7/1/14,0,5/25/21,0,2.25,4,0,0,50000,1,0,0,0,453220,13
"Precision Dental, P.A.",6555,EXEMPT,1585400,1189050,0.75,6,180,2014,6/21/14,7/1/14,10,4/13/29,0,1.75,3.25,0,0,475620,0.3,0,0,0,621210,15
"CADENA FAMILY DENTISTRY, P.L.L",6556,EXEMPT,334000,250500,0.75,5.29,120,2014,6/16/14,6/16/14,0,4/24/24,0,1.75,3.25,0,0,100200,0.3,0,0,0,621210,10
"THE EMERALD GROUP OF FLORIDA,",6557,PIF,150000,75000,0.5,6,84,2014,6/13/14,6/13/14,0,5/7/21,0,2.25,4,0,0,150000,1,0,0,0,238210,2
"THE EMERALD GROUP OF FLORIDA,",6558,EXEMPT,790400,592800,0.75,6,120,2014,6/13/14,6/13/14,0,4/21/24,0,1.75,3.25,0,0,237120,0.3,0,0,0,238210,2
"ADVANCED IT CONCEPTS, INC.",6559,EXEMPT,350000,175000,0.5,7.75,84,2014,6/11/14,6/11/14,0,5/5/21,0,1.75,3.25,0,0,105000,0.3,0,0,0,541512,17
"LARNILLO, LLC",6560,EXEMPT,2322300,1741725,0.75,5,300,2014,6/9/14,6/9/14,0,1/29/39,0,1.75,3.25,0,0,696690,0.3,0,0,0,621111,30
QSR Development 2 LLC,6561,EXEMPT,252300,189225,0.75,5.5,72,2014,6/2/14,6/2/14,0,5/1/20,0,1.75,3.25,0,0,75690,0.3,0,0,0,445299,40
PAPSCO OF 70&75 LLC,6562,EXEMPT,414200,310650,0.75,6,120,2014,5/28/14,6/1/14,4,4/9/24,0,1.75,3.25,0,0,124260,0.3,0,0,0,722211,42
"Envirowaste Services Group, In",6563,PIF,3563800,2672850,0.75,6.75,120,2014,5/23/14,6/1/14,9,4/9/24,0,2.25,4,0,0,3563800,1,0,0,0,562998,15
BOLD BEAN COFFEE ROASTERS LLC,6564,EXEMPT,264000,198000,0.75,5.75,120,2014,5/19/14,5/19/14,0,3/27/24,0,1.75,3.25,0,0,79200,0.3,0,0,0,424490,51
Cruise Naples Inc.,6565,PIF,653800,490350,0.75,5.3,180,2014,5/19/14,6/1/14,13,3/14/29,0,2.25,4,0,0,653800,1,0,0,0,561520,30
"FIKE ENTERPRISES III, LLC",6566,EXEMPT,160000,120000,0.75,7,84,2014,5/6/14,5/6/14,0,3/30/21,0,1.75,3.25,0,0,48000,0.3,0,0,0,448130,12
"A1 Stone World, Inc.",6567,EXEMPT,203900,152925,0.75,6,84,2014,4/30/14,5/1/14,1,3/25/21,0,1.75,3.25,0,0,61170,0.3,0,0,0,238340,10
PINNACLE CARDIOVASCULAR ASSOCI,6568,PIF,245600,184200,0.75,6,120,2014,4/21/14,4/21/14,0,2/28/24,0,2.25,4,0,0,245600,1,0,0,0,621111,3
Cardiovascular Institute of Or,6569,EXEMPT,1300000,975000,0.75,4.25,300,2014,4/17/14,4/17/14,0,12/7/38,0,1.75,3.25,0,0,390000,0.3,0,0,0,621111,7
"PTAINGUYEN, INC.",6570,EXEMPT,250000,187500,0.75,6,300,2014,4/14/14,5/1/14,17,12/21/38,0,1.75,3.25,0,0,75000,0.3,0,0,0,812113,10
"Paragon Plastics, Inc.",6571,EXEMPT,289500,144750,0.5,4,84,2014,4/11/14,3/1/16,690,1/24/23,0,1.75,3.25,0,0,101325,0.35,0,0,0,326199,23
"BCBK INVESTMENT GROUP, LLC",6572,PIF,786600,589950,0.75,5,240,2014,4/9/14,4/9/14,0,12/25/33,0,2.25,4,0,0,786600,1,0,0,0,722511,100
"Parrott Holdings, LLC",6573,EXEMPT,2907700,2180775,0.75,5.2,300,2014,4/9/14,4/9/14,0,11/29/38,0,1.75,3.25,0,0,872310,0.3,0,0,0,624410,42
Medoz Pharmacy of Polk Inc,6574,EXEMPT,200000,150000,0.75,7,120,2014,4/7/14,4/7/14,0,2/14/24,0,1.75,3.25,0,0,60000,0.3,0,0,0,446110,4
"Marciano Family Optometric, P.",6575,EXEMPT,1125000,843750,0.75,4.25,300,2014,3/31/14,4/1/14,1,11/21/38,0,1.75,3.25,0,0,337500,0.3,0,0,0,621320,8
"AAA Florida Clinic, LLC",6576,EXEMPT,1246000,934500,0.75,5.5,101,2014,3/19/14,4/1/14,13,7/18/22,0,1.75,3.25,0,0,373800,0.3,0,0,0,621498,10
"CCW EXPRESS CARE VALVOLINE, LL",6577,PIF,1441100,1080825,0.75,5.55,240,2014,3/10/14,3/10/14,0,11/25/33,0,2.25,4,0,0,1441100,1,0,0,0,811192,18
"JOSEPH B. LAWSON, PA",6578,EXEMPT,348300,174150,0.5,6,126,2014,1/31/14,2/1/14,1,6/8/24,0,1.75,3.25,0,0,104490,0.3,0,0,0,621210,16
"MITCHELL SOUND SOLUTIONS, LLC",6580,EXEMPT,208000,104000,0.5,5.2,300,2014,12/16/13,12/16/13,0,8/7/38,0,1.75,3.25,0,0,62400,0.3,0,0,0,811211,8
ACTION RESTORATION OF THE PANH,6581,PIF,200000,100000,0.5,5.35,84,2014,12/6/13,1/1/14,26,11/25/20,0,2.25,4,0,0,200000,1,0,0,0,561790,20
"W.R. HARDEN, INC.",6582,EXEMPT,441300,330975,0.75,6,240,2014,12/5/13,12/5/13,0,8/22/33,0,1.75,3.25,0,0,132390,0.3,0,0,0,531130,4
JHG Pizza LLC,6584,EXEMPT,325000,162500,0.5,6,126,2013,9/9/13,9/9/13,0,1/15/24,0,2,3,0,0,97500,0.3,0,0,0,722513,30
"PARAM ONE, LLC",6585,EXEMPT,100000,50000,0.5,7,120,2013,8/29/13,9/1/13,3,7/11/23,0,2,3,0,0,30000,0.3,0,0,0,447110,3
"Melimar Company, Inc",6587,PIF,750000,675000,0.9,4.1,12,2013,8/14/13,9/1/13,18,8/27/14,0,2.25,4,0,0,750000,1,0,0,0,423830,8
ADVANCED BUSINESS PROCESSES IN,6588,PIF,300000,150000,0.5,6.5,84,2013,5/7/13,5/7/13,0,3/31/20,0,2.25,4,0,0,300000,1,0,0,0,722511,40
Williams Wealth Management Gro,6589,EXEMPT,75000,37500,0.5,7.75,84,2013,2/8/13,2/8/13,0,1/3/20,0,2,3,0,0,22500,0.3,0,0,0,523930,4
"Drummond Press, Inc.",6590,PIF,350000,175000,0.5,4.25,84,2012,9/6/12,10/1/12,25,8/26/19,0,2.25,4,0,0,350000,1,0,0,0,323110,102
"Melimar Company, Inc.",6591,PIF,750000,675000,0.9,4.1,12,2012,8/10/12,8/10/12,0,8/5/13,0,2.25,4,0,0,750000,1,0,0,0,423830,8
BLENDSTAR CORP,6592,PIF,133000,66500,0.5,7.75,84,2012,6/25/12,9/1/12,68,7/27/19,0,2.25,4,0,0,133000,1,0,0,0,722213,8
"J. M. TODD, INC.",6593,PIF,227300,113650,0.5,7.5,84,2012,6/25/12,6/25/12,0,5/20/19,0,2.25,4,0,0,227300,1,0,0,0,532420,23
Fastkit Corp.,6594,PIF,250000,125000,0.5,6.5,84,2012,6/22/12,7/19/12,27,6/13/19,0,2.25,4,0,0,250000,1,0,0,0,323118,49
Fastkit Corp.,6595,EXEMPT,1103000,827250,0.75,6.15,120,2012,6/11/12,7/19/12,38,5/28/22,0,2.25,2.75,0,0,386050,0.35,0,0,0,323119,49
"MANWELL JAX III, LLC",6596,PIF,200000,100000,0.5,7,84,2012,5/24/12,6/1/12,8,4/26/19,0,2.25,4,0,0,200000,1,0,0,0,722110,110
TYRONE FITNESS LLC,6597,PIF,150000,75000,0.5,7,95,2012,5/15/12,7/1/12,47,4/20/20,0,2.25,4,0,0,150000,1,0,0,0,713940,23
THRIVE VENDING INC.,6598,PIF,250000,125000,0.5,7.75,84,2012,4/26/12,5/1/12,5,3/26/19,0,2.25,4,0,0,250000,1,0,0,0,454210,2
"Women to Women OB GYN Care, LL",6599,PIF,60500,30250,0.5,7.75,84,2012,4/26/12,5/1/12,5,3/26/19,0,2.25,4,0,0,60500,1,0,0,0,621111,4
"Women to Women OB GYN Care, LL",6600,PIF,103000,51500,0.5,7.75,84,2012,4/26/12,5/1/12,5,3/26/19,0,2.25,4,0,0,103000,1,0,0,0,621111,2
Aviation Instruments Repair Sp,6601,EXEMPT,2061000,1545750,0.75,5.87,120,2012,4/23/12,5/1/12,8,3/10/22,0,2.25,2.75,0,0,618300,0.3,0,0,0,811310,0
"STAAB AND STABB EDUCATION III,",6602,PIF,350000,175000,0.5,5.85,96,2012,2/24/12,3/1/12,6,1/19/20,0,2.25,4,0,0,350000,1,0,0,0,624410,40
Antonio Pena Distributors,6603,PIF,500000,450000,0.9,5.75,12,2012,12/29/11,5/1/12,124,4/26/13,0,2.25,4,0,0,500000,1,0,0,0,424410,31
"1st CLASS CARRIER, INC",6604,PIF,81100,68935,0.85,7.25,83,2012,12/28/11,1/1/12,4,10/26/18,0,2.25,4,0,0,81100,1,0,0,0,492110,7
"AMANDA R BYERS, O.D., P.A.",6605,EXEMPT,625800,469350,0.75,7.65,180,2012,12/15/11,12/15/11,0,9/27/26,0,2.25,2.75,0,0,187740,0.3,0,0,0,621320,0
The Franz Center for Children,6606,PIF,154500,77250,0.5,7.75,84,2012,12/12/11,12/12/11,0,11/5/18,0,2.25,4,0,0,154500,1,0,0,0,621111,8
"G.P.N.P. NORTHWOOD, INC.",6607,PIF,49000,24500,0.5,9.75,83,2012,10/20/11,12/1/11,42,9/25/18,0,2.25,4,0,0,49000,1,0,0,0,722110,45
"PONTE VEDRA WELLNESS CENTER, I",6608,PIF,200000,100000,0.5,6.75,83,2011,9/29/11,10/1/11,2,7/26/18,0,2.25,4,0,0,200000,1,0,0,0,621310,5
"Diamond Taps Enterprise, LLC",6609,PIF,340000,255000,0.75,7.65,93,2011,9/29/11,10/1/11,2,5/22/19,0,2.25,4,0,0,340000,1,0,0,0,722410,19
CITRUS PARK SUBWAY INC.,6614,PIF,233800,116900,0.5,7.25,90,2011,9/29/11,10/1/11,2,2/21/19,0,2.25,4,0,0,233800,1,0,0,0,722110,10
Drive Solutions Inc and EASY F,6615,PIF,51500,25750,0.5,7.75,84,2011,9/28/11,11/1/11,34,9/25/18,0,2.25,4,0,0,51500,1,0,0,0,333999,10
Drive Solutions Inc and EASY F,6616,PIF,218500,109250,0.5,7.75,99,2011,9/28/11,11/1/11,34,12/19/19,0,2.25,4,0,0,218500,1,0,0,0,333999,10
Sapphire Dental LLC,6617,EXEMPT,1600200,1200150,0.75,6.8,120,2011,9/22/11,9/22/11,0,7/31/21,0,2.5,2.5,0,0,640080,0.4,0,0,0,561110,13
A Harold and Associates LLC,6618,PIF,1000000,500000,0.5,7.75,13,2011,9/19/11,9/19/11,0,10/13/12,0,2.25,4,0,0,1000000,1,0,0,0,541330,80
SLOW POUR II LLC DBA WORLD OF,6619,PIF,346000,259500,0.75,7.65,90,2011,9/13/11,11/1/11,49,3/24/19,0,2.25,4,0,0,346000,1,0,0,0,722410,25
"Catering By Liz, Inc.",6621,PIF,50000,25000,0.5,7.75,84,2011,8/24/11,8/24/11,0,7/18/18,0,2.25,4,0,0,50000,1,0,0,0,722320,34
"INTROLOGY, LLC",6622,EXEMPT,70200,35100,0.5,7.75,84,2011,8/22/11,8/22/11,0,7/16/18,0,2.5,2.5,0,0,28080,0.4,0,0,0,722110,14
"ACETTES, LLC",6627,PIF,148500,74250,0.5,7.5,180,2011,7/22/11,7/22/11,0,5/4/26,0,2.25,4,0,0,148500,1,0,0,0,621610,6
"SWAFFORD INSURANCE SVCS., INC.",6628,PIF,900000,675000,0.75,6.2,72,2011,7/14/11,7/14/11,0,6/12/17,0,2.25,4,0,0,900000,1,0,0,0,524210,8
12 ANGELS LLC,6629,PIF,660000,495000,0.75,6,92,2011,7/7/11,7/7/11,0,1/26/19,0,2.25,4,0,0,660000,1,0,0,0,325620,3
SUPERIOR TRADE LETTERPRESS AND,6630,PIF,62100,31050,0.5,7.75,120,2011,7/5/11,7/5/11,0,5/13/21,0,2.25,4,0,0,62100,1,0,0,0,323112,6
"Eason Cable Enterprises, LLC.",6631,EXEMPT,337100,252825,0.75,8.25,84,2011,6/30/11,7/1/11,1,5/25/18,0,2.5,2.5,0,0,134840,0.4,0,0,0,713940,0
"DORAL SERVICE CENTER, INC.",6632,EXEMPT,347000,173500,0.5,7.75,84,2011,6/30/11,6/30/11,0,5/24/18,0,2.5,2.5,0,0,138800,0.4,0,0,0,447110,25
"THE BOATMAN LAW FIRM, P.A.",6634,PIF,100000,50000,0.5,7,84,2011,6/27/11,6/27/11,0,5/21/18,0,2.25,4,0,0,100000,1,0,0,0,541110,7
