BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysIN2TB4CO,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
A PLUS RESTORATION AND CONSTRU,20581 N. Wallingford Lane,Deer Park,IL,60010,2190,EXEMPT,100000,50000,5.75,120,2018,1/19/18,2/28/18,40,1/7/28,0,,,,,,"3,600",120,238990,All Other Specialty Trade Contractors,1,SBA EXPRES,FA$TRK (Small Loan Express),The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
"SPECIAL PLUMBING, INC.",805 Glenshire Road,Glenview,IL,60025,2195,EXEMPT,100000,50000,6,84,2018,12/22/17,1/31/18,40,12/25/24,0,,,,,,"2,520",84,238220,"Plumbing, Heating, and Air-Conditioning Contractors",1,SBA EXPRES,FA$TRK (Small Loan Express),The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
PREMIER ELECTRIC SERVICES CORP,13760 KENTON AVE,MIDLOTHIAN,IL,60445,2252,EXEMPT,100000,50000,6,84,2017,9/21/17,10/31/17,40,9/24/24,0,,,,,,"2,520",84,237130,Power and Communication Line and Related Structures Construction,30,SBA EXPRES,FA$TRK (Small Loan Express),The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
Body Medspa of Oakbrook Inc.,3051 Butterfield Rd.,Oakbrook,IL,60523,2271,EXEMPT,10000,5000,7,84,2017,8/21/17,9/30/17,40,8/24/24,0,,,,,,"2,520",84,812199,Other Personal Care Services,5,SBA EXPRES,FA$TRK (Small Loan Express),The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
Talon Electric Company,315 Deerpath,WAUCONDA,IL,60084,2437,EXEMPT,200000,100000,5.25,84,2014,10/22/13,12/1/13,40,10/25/20,0,,,,,,"2,520",84,238210,Electrical Contractors,7,SBA EXPRES,FA$TRK (Small Loan Express),The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
"Gateway Fabricators, Inc.",633 Collinsville Ave,East St. Louis,IL,62201,2500,EXEMPT,150000,127500,5.5,123,2016,6/22/16,8/1/16,40,9/8/26,0,,,,,,"3,690",123,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,9,OTH 7A,Guaranty,The Business Bank of St. Louis,8000 Maryland Ave,CLAYTON,MO,63105
"D5 Design & Metal Fabrication,",2439 N. Pulaski Road,CHICAGO,IL,60639,2511,EXEMPT,1078000,808500,6.75,300,2018,1/19/18,2/28/18,40,10/20/42,0,,,,,,"9,000",300,332311,Prefabricated Metal Building and Component Manufacturing,18,PLP,Guaranty,The Bancorp Bank,"409 Silverside Rd, Ste 105",WILMINGTON,DE,19809
"FGF, Inc.",15960 S. Harlem Avenue,Tinley Park,IL,60477,2559,EXEMPT,423000,317250,6,120,2012,6/22/12,8/1/12,40,6/10/22,0,,,,,,"3,600",120,722513,Limited-Service Restaurants,19,PLP,Guaranty,The Bancorp Bank,"409 Silverside Rd, Ste 105",WILMINGTON,DE,19809
RMSMRD LLC,766-770 E DUNDEE RD,PALATINE,IL,60074,2643,EXEMPT,735000,551250,5.5,126,2015,12/23/14,2/1/15,40,6/8/25,0,,,,,,"3,780",126,621493,Freestanding Ambulatory Surgical and Emergency Centers,6,PLP,Guaranty,Stearns Bank National Association,4191 2nd St South,SAINT CLOUD,MN,56301
Sitka Salmon LLC,109 S Cherry St,Galesburg,IL,61401,2683,EXEMPT,200000,100000,6,12,2017,4/21/17,5/31/17,40,5/26/18,0,,,,,,360,12,445220,Fish and Seafood Markets,6,SBA EXPRES,FA$TRK (Small Loan Express),Starion Bank,333 N 4th,BISMARCK,ND,58501
Kurian Foods Inc.,28 E. Jackson,CHICAGO,IL,60604,2766,EXEMPT,300000,270000,5.75,96,2010,3/22/10,5/1/10,40,3/20/18,0,,,,,,"2,880",96,722110,Full-Service Restaurants,14,PLP,Guaranty,"South Central Bank, National Association",525 W Roosevelt Rd,CHICAGO,IL,60607
"KEIM FAMILY CHIROPRACTIC, LLC",804 WEST HIGHWAY 50,O' FALLON,IL,62269,2860,EXEMPT,118200,100470,6.75,84,2018,11/21/17,12/31/17,40,11/24/24,0,,,,,,"2,520",84,621310,Offices of Chiropractors,7,PLP,Guaranty,Scott CU,101 Credit Union Way,EDWARDSVILLE,IL,62025
"RDM MANAGEMENT 1, INC.",4923 Powderhorn Place,Caledonia,IL,61011,2933,EXEMPT,277000,207750,5,120,2016,1/21/16,3/1/16,40,1/8/26,0,,,,,,"3,600",120,722513,Limited-Service Restaurants,3,SLA,Lender Advantage Initiative,Rockford Bank and Trust Company,4571 Guilford Rd,ROCKFORD,IL,61107
"FRANKLIN DISPLAY GROUP, INC.",801 5th Ave.,Belvidere,IL,61008,3008,EXEMPT,2330000,1747500,4.5,309,2012,8/22/12,10/1/12,40,2/17/38,0,,,,,,"9,270",309,332618,Other Fabricated Wire Product Manufacturing,10,PLP,Guaranty,Rockford Bank and Trust Company,4571 Guilford Rd,ROCKFORD,IL,61107
"WHOA NETWORKS, INC.",17 W 220  22ND ST Suite 450,OAKBROOK TERRACE,IL,60181,3065,EXEMPT,5000000,3750000,6.75,121,2018,12/22/17,1/31/18,40,1/9/28,0,,,,,,"3,630",121,551112,Offices of Other Holding Companies,15,PLP,Guaranty,Radius Bank,"One Harbor St, Ste 201",BOSTON,MA,2210
"Eggs III, Inc",680 N Lake Shore Drive,Chicago,IL,60611,3381,EXEMPT,325000,243750,5.75,84,2016,12/23/15,2/1/16,40,12/26/22,0,,,,,,"2,520",84,722511,Full-Service Restaurants,26,SLA,Lender Advantage Initiative,Parkway Bank & Trust Company,4800 N Harlem Ave,HARWOOD HEIGHTS,IL,60706
"Midlothian Hardware, Inc.",4751 147TH ST,MIDLOTHIAN,IL,60445,3527,EXEMPT,100000,85000,7.25,120,2018,1/19/18,2/28/18,40,1/7/28,0,,,,,,"3,600",120,444130,Hardware Stores,11,PLP,Guaranty,"Newtek Small Business Finance, Inc.",1981 Marcus Avenue,LAKE SUCCESS,NY,11042
"KORES GROUP,INC.",805 SOUTH HEMLOCK STREET,LEROY,IL,61752,3633,EXEMPT,1395000,1255500,6,209,2010,2/20/10,4/1/10,40,6/1/27,0,,,,,,"6,270",209,447110,Gasoline Stations with Convenience Stores,8,OTH 7A,Guaranty,Morton Community Bank,721 W Jackson St,MORTON,IL,61550
"Piper City Convenience Store,",W Main Street,Piper City,IL,60959,3648,EXEMPT,340200,255150,6.25,300,2016,8/22/16,10/1/16,40,5/23/41,0,,,,,,"9,000",300,447110,Gasoline Stations with Convenience Stores,3,OTH 7A,Guaranty,Millennium Bank,2077 Miner St,DES PLAINES,IL,60016
"Victory Lane Ford, Inc.",903 NORTH OLD ROUTE 66,LITCHFIELD,IL,62056,3920,EXEMPT,1600000,1440000,6,288,2010,1/20/10,3/1/10,40,10/26/33,0,,,,,,"8,640",288,441110,New Car Dealers,29,OTH 7A,Guaranty,Litchfield National Bank,316 N State St,LITCHFIELD,IL,62056
SteLo LLC,1239 W 18th St,CHICAGO,IL,60608,4080,EXEMPT,307000,230250,5.223,120,2017,8/21/17,9/30/17,40,8/9/27,0,,,,,,"3,600",120,722511,Full-Service Restaurants,23,PLP,Guaranty,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"CREED LOGISTICS, INC.",656 PEARSON ST UNIT 205C,DES PLAINES,IL,60016,4568,EXEMPT,35000,17500,6.4,84,2015,9/22/15,11/1/15,40,9/25/22,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Sonntag Reporting Service, Ltd",248 W. River Drive,SAINT CHARLES,IL,60174,5257,EXEMPT,353500,176750,6.69,240,2011,12/23/10,2/1/11,40,10/19/30,0,,,,,,"7,200",240,561492,Court Reporting and Stenotype Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"WAG N' PADDLE, LLC",JEFFERSON AVE,NAPERVILLE,IL,60540,5424,EXEMPT,2957000,2217750,6.5,312,2018,1/19/18,2/28/18,40,10/15/43,0,,,,,,"9,360",312,812910,Pet Care (except Veterinary) Services,10,OTH 7A,Guaranty,HomeStar Bank and Financial Services,303 Section Line Rd,MANTENO,IL,60950
Davis Home Care LLC,123 E. Ogden Ave #102A,Hinsdale,IL,60521,5438,EXEMPT,1497000,1122750,5.25,120,2018,12/22/17,1/31/18,40,12/10/27,0,,,,,,"3,600",120,621610,Home Health Care Services,190,OTH 7A,Guaranty,Hinsdale Bank & Trust Company,25 E First St,HINSDALE,IL,60521
Team Packaging Inc,540 Capital Dr Suite 120,Lake Zurich,IL,60047,5473,EXEMPT,300000,225000,6,120,2015,12/23/14,2/1/15,40,12/10/24,0,,,,,,"3,600",120,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,20,OTH 7A,Standard Asset Based,Heartland Bank and Trust Company,401 N Hershey Rd,BLOOMINGTON,IL,61704
"Tinley Park Bowling Lanes, Inc",7601 W 183rd St,Tinley Park,IL,60477,5824,EXEMPT,964500,868050,4.99,300,2011,12/23/10,2/1/11,40,9/23/35,0,,,,,,"9,000",300,713950,Bowling Centers,2,PLP,Guaranty,"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301
Decatur Jewelry and Antiques,1065 W. Pershing,DECATUR,IL,62526,5877,EXEMPT,150000,75000,4.375,120,2015,12/23/14,2/1/15,40,12/10/24,0,,,,,,"3,600",120,452990,All Other General Merchandise Stores,15,SBA EXPRES,FA$TRK (Small Loan Express),"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938
"RIGHT WAY SIGNS, LLC",2333 N SEELEY AVE,CHICAGO,IL,60647,6011,EXEMPT,350000,262500,6.75,120,2017,5/21/17,6/30/17,40,5/9/27,0,,,,,,"3,600",120,339950,Sign Manufacturing,12,PLP,Guaranty,First Home Bank,9190 Seminole Blvd,SEMINOLE,FL,33772
"Hospitality Plus of Huntley, I",47 N and Powers Road,HUNTLEY,IL,60142,6259,EXEMPT,1175000,881250,4.25,309,2015,1/20/15,3/1/15,40,7/17/40,0,,,,,,"9,270",309,722513,Limited-Service Restaurants,0,PLP,Guaranty,First Bank Financial Centre,155 W Wisconsin Ave,OCONOMOWOC,WI,53066
"Hospitality Plus of Huntley, I",47 N and Powers Road,HUNTLEY,IL,60142,6260,EXEMPT,935000,701250,5,309,2015,1/20/15,3/1/15,40,7/17/40,0,,,,,,"9,270",309,722513,Limited-Service Restaurants,0,PLP,Guaranty,First Bank Financial Centre,155 W Wisconsin Ave,OCONOMOWOC,WI,53066
"Promact Enterprise, Inc.",115 N. Northwest Hwy,BARRINGTON,IL,60010,6286,EXEMPT,412200,309150,6.25,300,2017,6/21/17,7/31/17,40,3/22/42,0,,,,,,"9,000",300,722513,Limited-Service Restaurants,2,PLP,Guaranty,First Bank,205 SE Broad St,SOUTHERN PINES,NC,28387
Red Bud Feed and Nutrition,1525 E. Market Street,RED BUD,IL,62278,6289,EXEMPT,160000,120000,5.25,180,2014,5/22/14,7/1/14,40,4/13/29,0,,,,,,"5,400",180,311119,Other Animal Food Manufacturing,6,SLA,Lender Advantage Initiative,First Bank,11901 Olive Blvd,CREVE COEUR,MO,63141
"Charles J. Fiore Nurseries, LL",16606 W Highway 22,Prairie View,IL,60069,6296,EXEMPT,1700000,1275000,4.69,12,2018,12/22/17,1/31/18,40,1/26/19,0,,,,,,360,12,444220,Nursery and Garden Centers,70,OTH 7A,Standard Asset Based,First American Bank,700 Busse Rd,ELK GROVE VILLAGE,IL,60007
M 2 J Trucking Incorporated,1102 E 93rd St,Chicago,IL,60619,6436,EXEMPT,57500,28750,5.27,61,2017,4/21/17,5/31/17,40,6/4/22,0,,,,,,"1,830",61,484121,"General Freight Trucking, Long Distance, Truckload",1,SBA EXPRES,FA$TRK (Small Loan Express),Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263
Martin J. Labuda DC P.C.,3835 N Broadway St,Chicago,IL,60613,6492,EXEMPT,50000,25000,4.5,84,2016,1/21/16,3/1/16,40,1/24/23,0,,,,,,"2,520",84,621310,Offices of Chiropractors,0,SBA EXPRES,FA$TRK (Small Loan Express),Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263
"Pan Handler's Pizza, LLC","349 S Barrington Road, Unit 5",WAUCONDA,IL,60084,6503,EXEMPT,25000,12500,4.4,84,2016,10/22/15,12/1/15,40,10/25/22,0,,,,,,"2,520",84,722513,Limited-Service Restaurants,18,SBA EXPRES,FA$TRK (Small Loan Express),Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263
SAL Herrin LLC,S Park Avenue,Herrin,IL,62948,6793,EXEMPT,999000,749250,5.5,181,2017,12/8/16,1/17/17,40,11/30/31,0,,,,,,"5,430",181,445110,Supermarkets and Other Grocery (except Convenience) Stores,31,OTH 7A,Guaranty,Community First Bank of the Heartland,117 N 10th St,MOUNT VERNON,IL,62864
"GTL Tax Service, Inc.",45 Commercial Drive,Vienna,IL,62995,6812,EXEMPT,250000,187500,5.75,180,2015,8/6/15,9/15/15,40,6/28/30,0,,,,,,"5,400",180,541213,Tax Preparation Services,80,SLA,Lender Advantage Initiative,Community First Bank of the Heartland,117 N 10th St,MOUNT VERNON,IL,62864
SPINOX1 INC.,711 Madison Street,OAK PARK,IL,60302,7103,EXEMPT,150000,127500,7.25,120,2018,1/19/18,2/28/18,40,1/7/28,0,,,,,,"3,600",120,713940,Fitness and Recreational Sports Centers,4,PLP,Guaranty,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
"Attucks Asset Management, LLC",321 N Clark St Suite 825,CHICAGO,IL,60654,7325,EXEMPT,2625000,1968750,2.75,120,2018,1/19/18,2/28/18,40,1/7/28,0,,,,,,"3,600",120,523999,Miscellaneous Financial Investment Activities,10,PLP,Guaranty,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
"ARJ Diversified, Inc.",2435 Brickvale Dr,ELK GROVE VILLAGE,IL,60007,7326,EXEMPT,685000,513750,7.25,120,2018,1/19/18,2/28/18,40,1/7/28,0,,,,,,"3,600",120,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",5,PLP,Guaranty,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
Zara Properties LLC,10000 S Western Avenue,Chicago,IL,60643,7616,EXEMPT,895000,671250,6,300,2016,10/22/15,12/1/15,40,7/22/40,0,,,,,,"9,000",300,445310,"Beer, Wine, and Liquor Stores",5,PLP,Guaranty,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
"GLENBROOK REAL ESTATE, LLC AND",1801 Janke Dr.,Northbrook,IL,60661,7858,EXEMPT,350000,262500,6,300,2014,12/23/13,2/1/14,40,9/23/38,0,,,,,,"9,000",300,713940,Fitness and Recreational Sports Centers,20,SLA,Lender Advantage Initiative,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
"U.S. Messenger & Logistics, In",7790 QUINCY ST,WILLOWBROOK,IL,60527,7998,EXEMPT,350000,262500,5.5,120,2013,10/19/12,11/28/12,40,10/7/22,0,,,,,,"3,600",120,492210,Local Messengers and Local Delivery,0,OTH 7A,Standard Asset Based,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
"IL Covo, Inc. dba The Bristol",2152 N. Damen Avenue,Chicago,IL,60647,8059,EXEMPT,315000,236250,6,120,2012,1/4/12,2/13/12,40,12/22/21,0,,,,,,"3,600",120,722110,Full-Service Restaurants,0,PLP,Guaranty,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
"Marchio Floor Coverings, Inc.",910 South State,Lockport,IL,60441,8223,EXEMPT,205000,153750,7.26,120,2017,4/21/17,5/31/17,40,4/9/27,0,,,,,,"3,600",120,238330,Flooring Contractors,2,PLP,Guaranty,BMO Harris Bank National Association,111 W Monroe St,CHICAGO,IL,60603
"Jackie's Sea Nails & Spa, Inc.",430 W. Touhy Ave,PARK RIDGE,IL,60068,8413,EXEMPT,120000,60000,6,60,2015,9/22/15,11/1/15,40,10/5/20,0,,,,,,"1,800",60,812113,Nail Salons,7,SBA EXPRES,FA$TRK (Small Loan Express),Bank of Hope,"3200 Wilshire Blvd, Ste 1400",LOS ANGELES,CA,90010
"Rauckman Utility Products, LLC",33 Empire Drive,Belleville,IL,62220,8464,EXEMPT,1040000,780000,4.9,120,2017,4/21/17,5/31/17,40,4/9/27,0,,,,,,"3,600",120,339113,Surgical Appliance and Supplies Manufacturing,8,PLP,Guaranty,Bank of Belleville,215 S Illinois St,BELLEVILLE,IL,62220
"Rauckman Utility Products, LLC",33 Empire Drive,Belleville,IL,62220,8465,EXEMPT,1300000,975000,5.5,120,2017,4/21/17,5/31/17,40,4/9/27,0,,,,,,"3,600",120,339113,Surgical Appliance and Supplies Manufacturing,8,PLP,Guaranty,Bank of Belleville,215 S Illinois St,BELLEVILLE,IL,62220
GURU SOHANG INC.,4850 East State Street,Rockford,IL,61108,8731,PIF,532000,399000,6,300,2012,3/22/12,5/1/12,40,12/21/36,0,,,,,,"9,000",300,721110,Hotels (except Casino Hotels) and Motels,6,PLP,Guaranty,Umpqua Bank,"445 SE Main St, First Fl",ROSEBURG,OR,97470
ACURA INC.,556 COUNTY LINE RD,BENSENVILLE,IL,60106,9172,PIF,1000000,500000,6.99,60,2011,6/22/11,8/1/11,40,7/5/16,0,,,,,,"1,800",60,237310,"Highway, Street, and Bridge Construction",10,SBA EXPRES,FA$TRK (Small Loan Express),The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
"Transnational Processing, Inc.",9600 Bryn Mawr Ave 6th Floor,Rosemont,IL,60018,9173,PIF,4000000,3000000,3.31,120,2011,4/22/11,6/1/11,40,4/9/21,0,,,,,,"3,600",120,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activiti",100,OTH 7A,Guaranty,The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
"OnCall Interactive, LLC","216 S. Jefferson Ave, Ste 60",Chicago,IL,60606,9349,PIF,500000,250000,6,60,2011,6/22/11,8/1/11,40,7/5/16,0,,,,,,"1,800",60,541519,Other Computer Related Services,30,SBA EXPRES,FA$TRK (Small Loan Express),Signature Bank,"9701 W Higgins Rd, Ste 500",ROSEMONT,IL,60018
"MY FAV ELECTRONICS, INC.",520 W Erie St Suite 101,CHICAGO,IL,60654,9864,PIF,350000,175000,4.65,84,2015,4/22/15,6/1/15,40,4/25/22,0,,,,,,"2,520",84,443142,Electronics Stores,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Dermatology Specialists of Ill,21 Eastings Way,BARRINGTON,IL,60010,9919,PIF,250000,125000,5.16,84,2014,9/26/14,11/5/14,40,9/29/21,0,,,,,,"2,520",84,621111,Offices of Physicians (except Mental Health Specialists),31,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Dr. Scott's Chiropractic Servi,2407 W Algonquin Rd,ALGONQUIN,IL,60102,10356,PIF,25000,12500,7.4,84,2012,5/22/12,7/1/12,40,5/26/19,0,,,,,,"2,520",84,621310,Offices of Chiropractors,4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Cargo Support Industries, Inc.",242 Willow Street,BARRINGTON,IL,60010,10566,PIF,90000,45000,4.95,84,2011,8/22/11,10/1/11,40,8/25/18,0,,,,,,"2,520",84,811310,Commercial and Industrial Machinery and Equipment (except Automotive a,16,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Pipevision Products, Inc.",320 Raccuglia Drive,LA SALLE,IL,61301,10765,PIF,642000,577800,5.77,84,2011,12/23/10,2/1/11,40,12/26/17,0,,,,,,"2,520",84,238220,"Plumbing, Heating, and Air-Conditioning Contractors",35,PLP,Guaranty,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
TRES BIEN NAILS & SPA INC,"1515 SHERIDAN ROAD, SUITE 10",WILMETTE,IL,60091,11291,PIF,130000,110500,6,120,2011,6/22/11,8/1/11,40,6/9/21,0,,,,,,"3,600",120,812112,Beauty Salons,7,PLP,Guaranty,"Hana Small Business Lending, Inc.",1000 Wilshire Blvd,LOS ANGELES,CA,90017
"BIG LAUNDRY, INC.",4718 NORTH KIMBALL AVENUE,CHICAGO,IL,60625,11295,PIF,1625000,1462500,6,120,2011,12/23/10,2/1/11,40,12/10/20,0,,,,,,"3,600",120,812310,Coin-Operated Laundries and Drycleaners,6,PLP,Guaranty,"Hana Small Business Lending, Inc.",1000 Wilshire Blvd,LOS ANGELES,CA,90017
UNITED LIGHT LLC.,1585 DUNDEE AVENUE,ELGIN,IL,60120,11296,PIF,975000,877500,6,300,2011,12/23/10,2/1/11,40,9/23/35,0,,,,,,"9,000",300,722110,Full-Service Restaurants,9,PLP,Guaranty,"Hana Small Business Lending, Inc.",1000 Wilshire Blvd,LOS ANGELES,CA,90017
"Waltz Brothers, Inc.",10 W. Waltz Drive,Wheeling,IL,60090,11389,PIF,1646100,1481490,6.02,84,2011,12/23/10,2/1/11,40,12/26/17,0,,,,,,"2,520",84,333512,Machine Tool (Metal Cutting Types) Manufacturing,47,PLP,Guaranty,First Midwest Bank,1 Pierce Pl,ITASCA,IL,60143
AMERICAN FURNITURE GROUP INC,3755 N WATER ST,DECATUR,IL,62526,11428,PIF,250000,125000,4.25,24,2016,10/22/15,12/1/15,40,11/20/17,0,,,,,,720,24,442110,Furniture Stores,18,SBA EXPRES,FA$TRK (Small Loan Express),"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938
"Kozak Custom Landscapes, Inc.",701 First Street,Batavia,IL,60510,11642,PIF,30000,15000,9.75,84,2013,4/22/13,6/1/13,40,4/25/20,0,,,,,,"2,520",84,561730,Landscaping Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301
Holistic Journey Inc.,216 FRANK SCOTT PKWY E STE 1,SWANSEA,IL,62226,11643,PIF,10000,5000,9.75,84,2013,4/22/13,6/1/13,40,4/25/20,0,,,,,,"2,520",84,454390,Other Direct Selling Establishments,0,SBA EXPRES,FA$TRK (Small Loan Express),"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301
"Deer Park Ventures, LLC (epc)",271 North Dunton Avenue,Deer Park,IL,60004,12021,PIF,700000,630000,5,306,2010,10/22/09,12/1/09,40,1/19/35,0,,,,,,"9,180",306,621210,Offices of Dentists,7,PLP,Guaranty,Compass Bank,15 S 20th St,BIRMINGHAM,AL,35233
"Designovations, Inc",7339 Wildwood Rd,STILLMAN VALLEY,IL,61084,12676,PIF,80000,40000,6.5,60,2012,12/23/11,2/1/12,40,1/5/17,0,,,,,,"1,800",60,339950,Sign Manufacturing,1,SBA EXPRES,FA$TRK (Small Loan Express),Blackhawk Bank,400 Broad St,BELOIT,WI,53511
"Van Gogh School Photographers,",Cornell,BARRINGTON,IL,60010,12696,PIF,140000,70000,4.5,12,2012,12/23/11,2/1/12,40,1/26/13,0,,,,,,360,12,541921,"Photography Studios, Portrait",50,SBA EXPRES,FA$TRK (Small Loan Express),"Barrington Bank & Trust Company, National Association",201 S Hough St,BARRINGTON,IL,60010
GCO CARPTET OUTLET,580 SOUTH PERRYVILLE ROAD,ROCKFORD,IL,61108,146,CHGOFF,120000,102000,5.5,6,2010,2/19/10,4/1/10,41,9/28/10,1,2014,18735,101265,10/1/14,"1,644","-1,464",-49,442210,Floor Covering Stores,7,RLA,Rural Lender Advantage,Stillman BancCorp N.A.,101 E Main St,STILLMAN VALLEY,IL,61084
"Indie Energy Systems Company,",1020 Church Street,Evanston,IL,60201,184,CHGOFF,650000,585000,5.75,98,2011,12/22/10,2/1/11,41,2/19/19,1,2015,541005,108995,4/7/15,"1,526","1,414",47,238220,"Plumbing, Heating, and Air-Conditioning Contractors",0,PLP,Guaranty,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
ELSTON AUTO REBUILDERS,3809 NORTH ELSTON AVENUE,CHICAGO,IL,60618,303,CHGOFF,1200000,1080000,6,263,2010,2/19/10,4/1/10,41,11/7/31,1,2016,810760,389240,6/30/16,"2,282","5,608",187,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",24,PLP,Guaranty,"Hana Small Business Lending, Inc.",1000 Wilshire Blvd,LOS ANGELES,CA,90017
Stinnett Group Inc.,4100 BLAIR DR,SPRINGFIELD,IL,62712,326,CHGOFF,50000,25000,5.5,64,2015,11/21/14,1/1/15,41,4/4/20,1,2016,49749,251,9/26/16,634,"1,286",43,238320,Painting and Wall Covering Contractors,1,SBA EXPRES,FA$TRK (Small Loan Express),United Community Bank,301 N Main St,CHATHAM,IL,62629
"Gold Liquors, Inc",20505 Lagrange Road,Frankfort,IL,60423,346,CHGOFF,348000,261000,5.25,81,2012,5/21/12,7/1/12,41,2/25/19,1,2017,290485,57515,2/7/17,"1,682",748,25,445310,"Beer, Wine, and Liquor Stores",0,PLP,Guaranty,First Colorado National Bank,133 Grand Ave,PAONIA,CO,81428
"Meeco Metal Products, Inc.",1685 Su Twan Drive,WORDEN,IL,62097,363,CHGOFF,150000,75000,6,17,2014,4/21/14,6/1/14,41,10/24/15,1,2017,143528,6472,4/13/17,"1,047",-537,-18,331110,Iron and Steel Mills and Ferroalloy Manufacturing,2,SBA EXPRES,FA$TRK (Small Loan Express),United Community Bank,301 N Main St,CHATHAM,IL,62629
Leesman Funeral Homes Inc,326 South Main,DUPO,IL,62239,1470,EXEMPT,869000,651750,5.5,300,2015,7/22/15,9/1/15,41,4/22/40,0,,,,,,"9,000",300,812210,Funeral Homes and Funeral Services,11,PLP,Guaranty,United Midwest Savings Bank,101 S Main St,DE GRAFF,OH,43318
THIRD COAST MEDIA LLC,526 CRESCENT BLVD,GLEN ELLYN,IL,60137,1624,EXEMPT,54600,27300,8.5,84,2017,6/20/17,7/31/17,41,6/24/24,0,,,,,,"2,520",84,541613,Marketing Consulting Services,1,SBA EXPRES,FA$TRK (Small Loan Express),U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
T & D CONSTRUCTION,823 N LOCKWOOD AVE,CHICAGO,IL,60651,1889,EXEMPT,10000,5000,9.75,84,2015,4/21/15,6/1/15,41,4/25/22,0,,,,,,"2,520",84,238160,Roofing Contractors,30,SBA EXPRES,FA$TRK (Small Loan Express),U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
Gasthaus Zum Loewen Inc.,158 W Roscoe St.,Chicago,IL,60657,2196,EXEMPT,595000,446250,7,120,2018,12/21/17,1/31/18,41,12/10/27,0,,,,,,"3,600",120,722410,Drinking Places (Alcoholic Beverages),14,PLP,Guaranty,The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
